ID,Question,Hardness,Gold SQL,Single_Agent_SQL,Single_Agent_Correct,Single_Agent_Time,Multi_Agent_SQL,Multi_Agent_Correct,Multi_Agent_Time,Multi_Agent_RAG_SQL,Multi_Agent_RAG_Correct,Multi_Agent_RAG_Time
1,How many singers do we have?,easy,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT Singer_ID) FROM singer,Yes,1.1,SELECT COUNT(*) FROM singer;,Yes,5.9,SELECT COUNT(*) FROM singer;,Yes,8.6
2,What is the total number of singers?,easy,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singer,Yes,0.9,SELECT COUNT(*) FROM singer;,Yes,8.0,SELECT COUNT(*) FROM singer;,Yes,7.5
3,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",easy,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT T1.Name, T1.Country, T1.Age 
FROM singer AS T1 
ORDER BY T1.Age DESC;",Yes,1.7,"SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC;",Yes,9.8,"SELECT s.Name, s.Country, s.Age FROM singer AS s ORDER BY s.Age DESC;",Yes,9.0
4,"What are the names, countries, and ages for every singer in descending order of age?",easy,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT T1.Name, T1.Country, T1.Age FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID ORDER BY T1.Age DESC",No,2.4,"SELECT s.Name, c.Country, s.Age FROM singer AS s JOIN country AS c ON s.Country = c.Code ORDER BY s.Age DESC;",No,9.5,"SELECT Name, Country, Age FROM singer ORDER BY Age DESC;",Yes,9.1
5,"What is the average, minimum, and maximum age of all singers from France?",easy,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(T1.Age), MIN(T1.Age), MAX(T1.Age) 
FROM singer AS T1 
JOIN concert AS T2 ON T1.Singer_ID = T2.Singer_ID 
WHERE T2.Stadium_ID IN (SELECT Stadium_ID FROM stadium WHERE Location = 'France')",No,3.7,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France';",Yes,9.7,SELECT AVG(Age) FROM singer WHERE Country = 'France' ORDER BY Age LIMIT 1;,No,9.9
6,"What is the average, minimum, and maximum age for all French singers?",easy,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(T1.Age), MIN(T1.Age), MAX(T1.Age) 
FROM singer AS T1 
JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID 
WHERE T1.Country = 'France'",No,3.4,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France';",Yes,9.2,"SELECT AVG(Age), MIN(Age), MAX(Age) FROM singer WHERE Country = 'France';",Yes,12.4
7,Show the name and the release year of the song by the youngest singer.,easy,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT T1.Name, T1.Song_release_year 
FROM singer AS T1 
JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID 
WHERE T1.Age = ( SELECT MIN(Age) FROM singer );",No,3.3,"SELECT s.Name, s.Song_Name, s.Song_release_year FROM singer AS s ORDER BY s.Age LIMIT 1;",No,8.5,"SELECT s.Name, s.Song_Name, s.Song_release_year FROM singer AS s ORDER BY s.Age LIMIT 1;",No,8.2
8,What are the names and release years for all the songs of the youngest singer?,easy,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.Song_Name, s.Song_release_year 
FROM singer_in_concert sic 
JOIN singer s ON sic.Singer_ID = s.Singer_ID 
WHERE s.Age = (SELECT MIN(Age) FROM singer);",Yes,3.1,"SELECT s.Song_Name, s.Song_release_year FROM singer AS s JOIN singer_in_concert AS sic ON s.Singer_ID = sic.Singer_ID WHERE s.Age = (SELECT MIN(Age) FROM singer);",Yes,9.2,"SELECT s.Song_Name, s.Song_release_year FROM singer AS s JOIN singer_in_concert AS sc ON s.Singer_ID = sc.Singer_ID WHERE s.Age = (SELECT MIN(Age) FROM singer);",Yes,9.4
9,What are all distinct countries where singers above age 20 are from?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT T2.Country FROM singer AS T1 INNER JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID WHERE T1.Age > 20,No,2.4,SELECT DISTINCT c.Name FROM singer AS s JOIN country AS c ON s.Country = c.Code WHERE s.Age > 20;,No,10.2,SELECT DISTINCT c.Name FROM singer AS s JOIN singer_in_concert AS sc ON s.Singer_ID = sc.Singer_ID WHERE s.Age > 20;,No,64.7
10,What are  the different countries with singers above age 20?,easy,SELECT DISTINCT country FROM singer WHERE age  >  20,"SELECT DISTINCT T1.Country 
FROM singer AS T1 
JOIN singer_in_concert AS T2 ON T1.Singer_ID = T2.Singer_ID 
WHERE T1.Age > 20;",No,2.2,SELECT DISTINCT c.Name FROM singer AS s JOIN country AS c ON s.Country = c.Code WHERE s.Age > 20;,No,9.0,SELECT DISTINCT c.Name FROM singer AS s JOIN country AS c ON s.Country = c.Code WHERE s.Age > 20;,No,60.8
