ID,Question,Hardness,Gold SQL,Single_Agent_SQL,Single_Agent_Correct,Single_Agent_Time,Multi_Agent_SQL,Multi_Agent_Correct,Multi_Agent_Time,Multi_Agent_RAG_SQL,Multi_Agent_RAG_Correct,Multi_Agent_RAG_Time
1,what are all the addresses including line 1 and line 2?,easy,"SELECT line_1 ,  line_2 FROM addresses","SELECT 
    A.line_1,
    A.line_2
FROM 
    Addresses A
JOIN 
    Students S ON A.address_id = S.current_address_id OR A.address_id = S.permanent_address_id;",No,6.1,SELECT * FROM Addresses;,No,6.3,"SELECT line_1, line_2 FROM Addresses;",Yes,6.5
2,What is the first and second line for all addresses?,easy,"SELECT line_1 ,  line_2 FROM addresses","SELECT T1.line_1, T1.line_2 FROM Addresses AS T1",Yes,2.0,"SELECT line_1, line_2 FROM Addresses;",Yes,6.4,"SELECT line_1, line_2 FROM Addresses ORDER BY address_id LIMIT 1;",No,7.0
3,How many courses in total are listed?,easy,SELECT count(*) FROM Courses,SELECT COUNT(DISTINCT T1.course_id) FROM Courses AS T1 INNER JOIN Student_Enrolment_Courses AS T2 ON T1.course_id = T2.course_id,No,2.6,SELECT COUNT(*) FROM Courses;,Yes,5.8,SELECT COUNT(*) FROM Courses;,Yes,5.1
4,How many courses are there?,easy,SELECT count(*) FROM Courses,SELECT COUNT(DISTINCT T1.course_id) FROM Courses AS T1 INNER JOIN Student_Enrolment_Courses AS T2 ON T1.course_id = T2.course_id,No,2.7,SELECT COUNT(*) FROM Courses;,Yes,6.3,SELECT COUNT(*) FROM Courses;,Yes,5.1
5,How is the math course described?,easy,SELECT course_description FROM Courses WHERE course_name  =  'math',SELECT T1.course_description FROM Courses AS T1 INNER JOIN Student_Enrolment_Courses AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = 'Math',No,2.8,SELECT c.course_description FROM Courses AS c WHERE c.course_name = 'math';,Yes,6.6,SELECT c.course_description FROM Courses AS c WHERE c.course_name = 'math';,Yes,5.8
6,What are the descriptions for all the math courses?,easy,SELECT course_description FROM Courses WHERE course_name  =  'math',SELECT T1.course_description FROM Courses AS T1 INNER JOIN Student_Enrolment_Courses AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name LIKE '%math%',Yes,2.9,SELECT c.course_description FROM Courses AS c WHERE c.course_name LIKE '%Math%';,Yes,7.1,SELECT course_description FROM Courses WHERE course_name = 'Math';,No,6.2
7,What is the zip code of the address in the city Port Chelsea?,easy,SELECT zip_postcode FROM Addresses WHERE city  =  'Port Chelsea',SELECT T1.zip_postcode FROM Addresses AS T1 INNER JOIN Departments AS T2 ON T1.department_id = T2.department_id WHERE T2.department_name = 'Port Chelsea',No,2.8,SELECT T1.zip_postcode FROM Addresses AS T1 JOIN Cities AS T2 ON T1.city = T2.city_name WHERE T2.city_name = 'Port Chelsea';,No,7.3,SELECT T1.zip_postcode FROM Addresses AS T1 JOIN Cities AS T2 ON T1.city = T2.city_name WHERE T2.city_name = 'Port Chelsea';,No,58.9
8,What is the zip code for Port Chelsea?,easy,SELECT zip_postcode FROM Addresses WHERE city  =  'Port Chelsea',SELECT T1.zip_postcode FROM Addresses AS T1 INNER JOIN Courses AS T2 ON T1.address_id = T2.course_id WHERE T2.course_name = 'Port Chelsea',No,2.8,SELECT T1.zip_postcode FROM Addresses AS T1 WHERE T1.line_1 = 'Port Chelsea';,No,7.8,SELECT zip_postcode FROM Addresses WHERE line_1 = 'Port Chelsea';,No,7.4
9,Which department offers the most number of degrees? List department name and id.,medium,"SELECT T2.department_name ,  T1.department_id FROM Degree_Programs AS T1 JOIN Departments AS T2 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id ORDER BY count(*) DESC LIMIT 1","SELECT D.department_name, D.department_id 
FROM Departments D 
JOIN Degree_Programs DP ON D.department_id = DP.department_id 
GROUP BY D.department_id 
ORDER BY COUNT(DP.degree_program_id) DESC 
LIMIT 1;",Yes,3.6,"SELECT d.department_name, d.department_id FROM Departments AS d JOIN Degree_Programs AS dp ON d.department_id = dp.department_id GROUP BY d.department_id ORDER BY COUNT(dp.degree_program_id) DESC LIMIT 1;",Yes,9.6,"SELECT d.department_name, d.department_id FROM Degree_Programs AS dp JOIN Departments AS d ON dp.department_id = d.department_id GROUP BY d.department_id ORDER BY COUNT(*) DESC LIMIT 1;",Yes,8.3
10,What is the name and id of the department with the most number of degrees ?,medium,"select t2.department_name ,  t1.department_id from degree_programs as t1 join departments as t2 on t1.department_id  =  t2.department_id group by t1.department_id order by count(*) desc limit 1","SELECT D.department_name, D.department_id 
FROM Departments D 
JOIN Degree_Programs DP ON D.department_id = DP.department_id 
GROUP BY D.department_id 
ORDER BY COUNT(DP.degree_program_id) DESC 
LIMIT 1;",Yes,3.4,"SELECT d.department_name, d.department_id FROM Departments AS d JOIN Degree_Programs AS dp ON d.department_id = dp.department_id GROUP BY d.department_id ORDER BY COUNT(dp.degree_program_id) DESC LIMIT 1;",Yes,9.1,"SELECT d.department_name, dp.degree_program_id FROM Degree_Programs AS dp JOIN Departments AS d ON dp.department_id = d.department_id GROUP BY dp.degree_program_id ORDER BY COUNT(*) DESC LIMIT 1;",No,8.5
