ID,Question,Hardness,Gold SQL,Single_Agent_SQL,Single_Agent_Correct,Single_Agent_Time,Multi_Agent_SQL,Multi_Agent_Correct,Multi_Agent_Time,Multi_Agent_RAG_SQL,Multi_Agent_RAG_Correct,Multi_Agent_RAG_Time
1,"Which owner owns the most dogs? List the owner id, first name and last name.",medium,"SELECT T1.owner_id ,  T2.first_name ,  T2.last_name FROM Dogs AS T1 JOIN Owners AS T2 ON T1.owner_id  =  T2.owner_id GROUP BY T1.owner_id ORDER BY count(*) DESC LIMIT 1","SELECT o.owner_id, o.first_name, o.last_name 
FROM Owners o 
JOIN Dogs d ON o.owner_id = d.owner_id 
GROUP BY o.owner_id 
ORDER BY COUNT(d.owner_id) DESC 
LIMIT 1;",Yes,3.1,"SELECT o.owner_id, o.first_name, o.last_name FROM Dogs AS d JOIN Owners AS o ON d.owner_id = o.owner_id GROUP BY o.owner_id ORDER BY COUNT(d.owner_id) DESC LIMIT 1;",Yes,11.5,"SELECT o.owner_id, o.first_name, o.last_name FROM Owners AS o JOIN Dogs AS d ON o.owner_id = d.owner_id GROUP BY o.owner_id ORDER BY COUNT(d.dog_id) DESC LIMIT 1;",Yes,11.3
2,"Return the owner id, first name and last name of the owner who has the most dogs.",medium,"SELECT T1.owner_id ,  T2.first_name ,  T2.last_name FROM Dogs AS T1 JOIN Owners AS T2 ON T1.owner_id  =  T2.owner_id GROUP BY T1.owner_id ORDER BY count(*) DESC LIMIT 1","SELECT o.owner_id, o.first_name, o.last_name 
FROM Owners o 
JOIN Dogs d ON o.owner_id = d.owner_id 
GROUP BY o.owner_id 
ORDER BY COUNT(d.owner_id) DESC 
LIMIT 1;",Yes,4.6,"SELECT o.owner_id, o.first_name, o.last_name FROM Owners AS o JOIN Dogs AS d ON o.owner_id = d.owner_id GROUP BY o.owner_id ORDER BY COUNT(d.dog_id) DESC LIMIT 1;",Yes,12.0,"SELECT o.owner_id, o.first_name, o.last_name FROM Owners AS o JOIN Dogs AS d ON o.owner_id = d.owner_id GROUP BY o.owner_id ORDER BY COUNT(d.dog_id) DESC LIMIT 1;",Yes,11.9
3,What is the name of the breed with the most dogs?,medium,SELECT T1.breed_name FROM Breeds AS T1 JOIN Dogs AS T2 ON T1.breed_code  =  T2.breed_code GROUP BY T1.breed_name ORDER BY count(*) DESC LIMIT 1,"SELECT T1.breed_name 
FROM Breeds AS T1 
JOIN Dogs AS T2 ON T1.breed_code = T2.breed_code 
GROUP BY T1.breed_name 
ORDER BY COUNT(T2.dog_id) DESC 
LIMIT 1;",Yes,4.8,SELECT breed_name FROM Dogs GROUP BY breed_code ORDER BY COUNT(*) DESC LIMIT 1;,No,11.3,SELECT b.breed_name FROM Dogs AS d JOIN Breeds AS b ON d.breed_code = b.breed_code GROUP BY d.breed_code ORDER BY COUNT(d.dog_id) DESC LIMIT 1;,Yes,10.4
4,Which breed do the most dogs have? Give me the breed name.,medium,SELECT T1.breed_name FROM Breeds AS T1 JOIN Dogs AS T2 ON T1.breed_code  =  T2.breed_code GROUP BY T1.breed_name ORDER BY count(*) DESC LIMIT 1,"SELECT T1.breed_name 
FROM Breeds AS T1 
JOIN Dogs AS T2 ON T1.breed_code = T2.breed_code 
GROUP BY T1.breed_name 
ORDER BY COUNT(T2.dog_id) DESC 
LIMIT 1;",Yes,4.3,SELECT b.breed_name FROM Dogs AS d JOIN Breeds AS b ON d.breed_code = b.breed_code GROUP BY d.breed_code ORDER BY COUNT(d.dog_id) DESC LIMIT 1;,Yes,11.1,SELECT b.breed_name FROM Dogs AS d JOIN Breeds AS b ON d.breed_code = b.breed_code GROUP BY b.breed_name ORDER BY COUNT(d.dog_id) DESC LIMIT 1;,Yes,9.9
5,What is the description of the treatment type that costs the least money in total?,medium,SELECT T1.treatment_type_description FROM Treatment_types AS T1 JOIN Treatments AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code GROUP BY T1.treatment_type_code ORDER BY sum(cost_of_treatment) ASC LIMIT 1,"SELECT T1.treatment_type_description 
FROM Treatment_Types AS T1 
JOIN Treatments AS T2 ON T1.treatment_type_code = T2.treatment_type_code 
WHERE T2.cost_of_treatment = ( SELECT MIN(cost_of_treatment) FROM Treatments );",Yes,4.1,SELECT tt.treatment_type_description FROM Treatments AS t JOIN Treatment_Types AS tt ON t.treatment_type_code = tt.treatment_type_code WHERE t.cost_of_treatment = (SELECT MIN(cost_of_treatment) FROM Treatments);,Yes,10.7,SELECT tt.treatment_type_description FROM Treatment_Types AS tt JOIN Treatments AS t ON tt.treatment_type_code = t.treatment_type_code WHERE t.cost_of_treatment = (SELECT MIN(cost_of_treatment) FROM Treatments);,Yes,10.2
6,Give me the description of the treatment type whose total cost is the lowest.,medium,SELECT T1.treatment_type_description FROM Treatment_types AS T1 JOIN Treatments AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code GROUP BY T1.treatment_type_code ORDER BY sum(cost_of_treatment) ASC LIMIT 1,"SELECT T1.treatment_type_description 
FROM Treatment_Types AS T1 
JOIN ( SELECT treatment_type_code, SUM(cost_of_treatment) AS total_cost 
       FROM Treatments 
       GROUP BY treatment_type_code ) AS T2 
ON T1.treatment_type_code = T2.treatment_type_code 
WHERE T2.total_cost = (SELECT MIN(total_cost) FROM ( SELECT treatment_type_code, SUM(cost_of_treatment) AS total_cost 
                                                    FROM Treatments 
                                                    GROUP BY treatment_type_code ))",Yes,7.3,SELECT tt.treatment_type_description FROM Treatments AS t JOIN Treatment_Types AS tt ON t.treatment_type_code = tt.treatment_type_code WHERE t.cost_of_treatment = (SELECT MIN(cost_of_treatment) FROM Treatments);,Yes,10.6,SELECT tt.treatment_type_description FROM Treatments AS t JOIN Treatment_Types AS tt ON t.treatment_type_code = tt.treatment_type_code WHERE t.cost_of_treatment = (SELECT MIN(cost_of_treatment) FROM Treatments);,Yes,10.0
7,"List the date of each treatment, together with the first name of the professional who operated it.",medium,"SELECT T1.date_of_treatment ,  T2.first_name FROM Treatments AS T1 JOIN Professionals AS T2 ON T1.professional_id  =  T2.professional_id","SELECT T1.date_of_treatment, P.first_name 
FROM Treatments T1 
JOIN Professionals P ON T1.professional_id = P.professional_id;",Yes,3.8,"SELECT T1.date_of_treatment, T2.first_name FROM Treatments AS T1 JOIN Professionals AS T2 ON T1.professional_id = T2.professional_id;",Yes,9.4,"SELECT T.date_of_treatment, P.first_name FROM Treatments AS T JOIN Professionals AS P ON T.professional_id = P.professional_id;",Yes,8.5
8,What are the date and the operating professional's first name of each treatment?,medium,"SELECT T1.date_of_treatment ,  T2.first_name FROM Treatments AS T1 JOIN Professionals AS T2 ON T1.professional_id  =  T2.professional_id","SELECT T.date_of_treatment, P.first_name 
FROM Treatments T 
JOIN Professionals P ON T.professional_id = P.professional_id;",Yes,3.1,"SELECT T1.date_of_treatment, P.first_name FROM Treatments AS T1 JOIN Professionals AS P ON T1.professional_id = P.professional_id;",Yes,10.2,"SELECT T.date_of_treatment, OP.first_name FROM Treatments AS T JOIN Operating_Professionals AS OP ON T.professional_id = OP.operating_professional_id;",No,71.4
9,List the cost of each treatment and the corresponding treatment type description.,medium,"SELECT T1.cost_of_treatment ,  T2.treatment_type_description FROM Treatments AS T1 JOIN treatment_types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code","SELECT T.treatment_type_description, T.cost_of_treatment 
FROM Treatments T 
JOIN Treatment_Types TT ON T.treatment_type_code = TT.treatment_type_code;",No,3.3,"SELECT t.cost_of_treatment, tt.treatment_type_description FROM Treatments AS t JOIN Treatment_Types AS tt ON t.treatment_type_code = tt.treatment_type_code;",Yes,8.8,"SELECT t.cost_of_treatment, tt.treatment_type_description FROM Treatments AS t JOIN Treatment_Types AS tt ON t.treatment_type_code = tt.treatment_type_code;",Yes,8.1
10,What are the cost and treatment type description of each treatment?,medium,"SELECT T1.cost_of_treatment ,  T2.treatment_type_description FROM Treatments AS T1 JOIN treatment_types AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code","SELECT 
  t.cost_of_treatment,
  tt.treatment_type_description
FROM 
  Treatments t
JOIN 
  Treatment_Types tt ON t.treatment_type_code = tt.treatment_type_code;",Yes,3.2,"SELECT t.cost_of_treatment, tt.treatment_type_description FROM Treatments AS t JOIN Treatment_Types AS tt ON t.treatment_type_code = tt.treatment_type_code;",Yes,9.4,"SELECT t.cost_of_treatment, tt.treatment_type_description FROM Treatments AS t JOIN Treatment_Types AS tt ON t.treatment_type_code = tt.treatment_type_code;",Yes,8.4
11,"List each owner's first name, last name, and the size of his for her dog.",medium,"SELECT T1.first_name ,  T1.last_name ,  T2.size_code FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id","SELECT 
  o.first_name,
  o.last_name,
  s.size_description
FROM 
  Owners o
JOIN 
  Dogs d ON o.owner_id = d.owner_id
JOIN 
  Sizes s ON d.size_code = s.size_code;",No,4.7,"SELECT o.first_name, o.last_name, d.size_code FROM Owners AS o JOIN Dogs AS d ON o.owner_id = d.owner_id;",Yes,10.2,"SELECT o.first_name, o.last_name, d.size_code FROM owners AS o JOIN Dogs AS d ON o.owner_id = d.owner_id;",Yes,9.3
12,"What are each owner's first name, last name, and the size of their dog?",medium,"SELECT T1.first_name ,  T1.last_name ,  T2.size_code FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id","SELECT 
  o.first_name,
  o.last_name,
  d.size_code
FROM 
  Owners o
JOIN 
  Dogs d ON o.owner_id = d.owner_id;",Yes,3.5,"SELECT o.first_name, o.last_name, d.size_code FROM Owners AS o JOIN Dogs AS d ON o.owner_id = d.owner_id;",Yes,10.7,"SELECT o.first_name, o.last_name, d.size_code FROM Owners AS o JOIN Dogs AS d ON o.owner_id = d.owner_id;",Yes,9.6
