ID,Question,Hardness,Gold SQL,Single_Agent_SQL,Single_Agent_Correct,Single_Agent_Time,Multi_Agent_SQL,Multi_Agent_Correct,Multi_Agent_Time,Multi_Agent_RAG_SQL,Multi_Agent_RAG_Correct,Multi_Agent_RAG_Time
1,How many continents are there?,easy,SELECT count(*) FROM CONTINENTS;,SELECT COUNT(DISTINCT T1.Continent) FROM continents AS T1,Yes,1.2,SELECT COUNT(*) FROM continents;,Yes,6.2,SELECT COUNT(*) FROM continents;,Yes,7.7
2,What is the number of continents?,easy,SELECT count(*) FROM CONTINENTS;,SELECT COUNT(DISTINCT T1.Continent) FROM continents AS T1,Yes,1.3,SELECT COUNT(*) FROM continents;,Yes,8.6,SELECT COUNT(*) FROM continents;,Yes,7.9
3,"How many countries does each continent have? List the continent id, continent name and the number of countries.",medium,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT 
  c.ContId,
  c.Continent,
  COUNT(DISTINCT c.ContinentId) AS num_countries
FROM continents c
GROUP BY c.ContId, c.Continent;",No,2.8,"SELECT c.ContId, c.Continent, COUNT(*) FROM continents AS c JOIN countries AS co ON c.ContId = co.Continent GROUP BY c.ContId, c.Continent;",Yes,11.6,"SELECT c.ContId, c.Continent, COUNT(*) FROM continents AS c JOIN countries AS co ON c.ContId = co.Continent GROUP BY c.ContId, c.Continent;",Yes,24.6
4,"For each continent, list its id, name, and how many countries it has?",medium,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT 
  c.ContId,
  c.Continent,
  COUNT(DISTINCT cn.CountryName) AS CountriesCount
FROM continents c
JOIN countries cn ON c.Continent = cn.Continent
GROUP BY c.ContId, c.Continent;",No,3.4,"SELECT c.ContId, c.Continent, COUNT(c.CountryId) FROM continents AS c JOIN countries AS c2 ON c.ContId = c2.Continent GROUP BY c.ContId, c.Continent;",No,10.5,"SELECT c.ContId, c.Continent, COUNT(c.CountryId) FROM countries AS c JOIN continents AS con ON c.Continent = con.ContId GROUP BY con.ContId;",No,71.1
5,How many countries are listed?,easy,SELECT count(*) FROM COUNTRIES;,SELECT COUNT(DISTINCT T1.CountryName) FROM countries AS T1 INNER JOIN continents AS T2 ON T1.Continent = T2.ContId,Yes,2.0,SELECT COUNT(*) FROM country;,No,6.6,SELECT COUNT(*) FROM country;,No,25.6
6,How many countries exist?,easy,SELECT count(*) FROM COUNTRIES;,SELECT COUNT(DISTINCT T1.CountryName) FROM countries AS T1 INNER JOIN continents AS T2 ON T1.Continent = T2.ContId,Yes,1.7,SELECT COUNT(*) FROM country;,No,8.0,SELECT COUNT(*) FROM country;,No,30.3
7,"How many models does each car maker produce? List maker full name, id and the number.",medium,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT 
  c.FullName,
  m.ModelId,
  COUNT(m.ModelId) AS NumModels
FROM 
  car_makers c
JOIN 
  model_list m ON c.Id = m.Maker
GROUP BY 
  c.FullName, m.ModelId;",No,4.2,"SELECT c.Maker, c.FullName, COUNT(*) FROM car_makers AS c JOIN model_list AS m ON c.Id = m.Maker GROUP BY c.Maker;",No,9.7,"SELECT c.Maker, c.Id, COUNT(m.ModelId) AS ModelCount FROM car_makers AS c JOIN car_names AS m ON c.Id = m.MakeId GROUP BY c.Maker, c.Id;",No,87.7
8,"What is the full name of each car maker, along with its id and how many models it produces?",medium,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT 
  c.Id,
  c.FullName,
  COUNT(ml.ModelId) AS NumberOfModels
FROM 
  car_makers c
JOIN 
  model_list ml ON c.Id = ml.Maker
GROUP BY 
  c.Id, c.FullName;",Yes,2.9,"SELECT c.Id, c.Maker, COUNT(m.ModelId) AS ModelCount FROM car_makers AS c JOIN model_list AS m ON c.Id = m.Maker GROUP BY c.Id;",No,11.0,"SELECT c.Id, c.FullName, COUNT(m.MakeId) FROM car_makers AS c JOIN car_names AS m ON c.Id = m.MakeId GROUP BY c.Id;",No,9.0
9,Which model of the car has the minimum horsepower?,medium,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,"SELECT Model FROM cars_data AS cd 
JOIN car_names AS cn ON cd.Id = cn.MakeId 
WHERE cd.Horsepower = ( SELECT MIN(Horsepower) FROM cars_data )",No,2.1,SELECT MIN(Horsepower) FROM cars_data;,No,8.7,SELECT MIN(Horsepower) FROM cars_data AS c;,No,7.9
10,What is the model of the car with the smallest amount of horsepower?,medium,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,"SELECT Model FROM cars_data AS cd 
JOIN car_names AS cn ON cd.Id = cn.MakeId 
WHERE Horsepower = ( SELECT MIN(Horsepower) FROM cars_data )",No,2.0,SELECT Model FROM car_names JOIN cars_data AS cd ON MakeId = Id WHERE Horsepower = 'smallest';,No,10.2,SELECT Model FROM car_names AS c JOIN cars_data AS cd ON c.MakeId = cd.Id ORDER BY Horsepower ASC LIMIT 1;,Yes,12.4
