ID,Question,Hardness,Gold SQL,Single_Agent_SQL,Single_Agent_Correct,Single_Agent_Time,Multi_Agent_SQL,Multi_Agent_Correct,Multi_Agent_Time,Multi_Agent_RAG_SQL,Multi_Agent_RAG_Correct,Multi_Agent_RAG_Time
1,What are the names of all the countries that became independent after 1950?,easy,SELECT Name FROM country WHERE IndepYear  >  1950,"SELECT c.Name 
FROM country c 
JOIN countrylanguage cl ON c.Code = cl.CountryCode 
WHERE c.IndepYear > 1950;",Yes,2.1,SELECT Name FROM country WHERE IndepYear > 1950;,Yes,7.9,SELECT Name FROM country WHERE IndepYear > 1950;,Yes,8.9
2,Give the names of the nations that were founded after 1950.,easy,SELECT Name FROM country WHERE IndepYear  >  1950,"SELECT c.Name 
FROM country c 
JOIN countrylanguage cl ON c.Code = cl.CountryCode 
WHERE c.IndepYear > 1950;",Yes,2.2,SELECT Name FROM country WHERE IndepYear > 1950;,Yes,10.2,SELECT Name FROM country WHERE IndepYear > 1950;,Yes,10.5
3,How many countries have a republic as their form of government?,easy,"SELECT count(*) FROM country WHERE GovernmentForm  =  ""Republic""",SELECT COUNT(DISTINCT T1.Code) FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T1.GovernmentForm = 'Republic',Yes,2.7,SELECT COUNT(*) FROM country WHERE GovernmentForm = 'Republic';,Yes,11.0,SELECT COUNT(*) FROM country WHERE GovernmentForm = 'Republic';,Yes,10.7
4,How many countries have governments that are republics?,easy,"SELECT count(*) FROM country WHERE GovernmentForm  =  ""Republic""",SELECT COUNT(DISTINCT T2.Code) FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T2.Language = 'Republic',No,2.9,SELECT COUNT(*) FROM country WHERE GovernmentForm = 'Republic';,Yes,10.2,SELECT COUNT(*) FROM country WHERE GovernmentForm = 'Republic';,Yes,11.0
5,What is the total surface area of the countries in the Caribbean region?,easy,"SELECT sum(SurfaceArea) FROM country WHERE Region  =  ""Caribbean""",SELECT SUM(T1.SurfaceArea) FROM country AS T1 INNER JOIN countryregion AS T2 ON T1.Code = T2.Code WHERE T2.Region = 'Caribbean',No,2.7,SELECT SUM(SurfaceArea) FROM country WHERE Region = 'Caribbean';,Yes,10.6,SELECT SUM(SurfaceArea) FROM country WHERE Region = 'Caribbean';,Yes,10.4
6,How much surface area do the countires in the Carribean cover together?,easy,"SELECT sum(SurfaceArea) FROM country WHERE Region  =  ""Caribbean""",SELECT SUM(T1.SurfaceArea) FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T2.Language = 'English' AND T1.Continent = 'Carribean';,No,3.2,SELECT SUM(SurfaceArea) FROM country WHERE Continent = 'Caribbean';,No,10.4,SELECT SUM(SurfaceArea) FROM country WHERE Region = 'Caribbean';,Yes,10.4
7,Which continent is Anguilla in?,easy,"SELECT Continent FROM country WHERE Name  =  ""Anguilla""",SELECT T2.Continent FROM city AS T1 INNER JOIN country AS T2 ON T1.CountryCode = T2.Code WHERE T1.Name = 'Anguilla';,No,2.3,SELECT c.Continent FROM country AS c JOIN city AS ci ON c.Code = ci.CountryCode WHERE ci.Name = 'Anguilla';,No,9.6,SELECT c.Continent FROM country AS c WHERE c.Code = 'ANG';,No,8.8
8,What is the continent name which Anguilla belongs to?,easy,"SELECT Continent FROM country WHERE Name  =  ""Anguilla""",SELECT T2.Continent FROM country AS T1 INNER JOIN countrylanguage AS T2 ON T1.Code = T2.CountryCode WHERE T1.Name = 'Anguilla';,No,2.8,SELECT c.Continent FROM country AS c JOIN city AS ci ON c.Code = ci.CountryCode WHERE ci.Name = 'Anguilla';,No,9.6,SELECT c.Continent FROM country AS c WHERE c.Code = 'ANG';,No,8.8
9,Which region is the city Kabul located in?,medium,"SELECT Region FROM country AS T1 JOIN city AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Name  =  ""Kabul""",SELECT T2.Region FROM city AS T1 INNER JOIN country AS T2 ON T1.CountryCode = T2.Code WHERE T1.Name = 'Kabul';,Yes,2.4,SELECT r.Region FROM country AS c JOIN city AS ci ON c.Code = ci.CountryCode JOIN region_table AS r ON c.Region = r.Name WHERE ci.Name = 'Kabul';,No,10.2,SELECT c.Region FROM country AS c JOIN city AS ci ON c.Code = ci.CountryCode WHERE ci.Name = 'Kabul';,Yes,11.2
10,What region is Kabul in?,medium,"SELECT Region FROM country AS T1 JOIN city AS T2 ON T1.Code  =  T2.CountryCode WHERE T2.Name  =  ""Kabul""",SELECT T2.Region FROM city AS T1 INNER JOIN country AS T2 ON T1.CountryCode = T2.Code WHERE T1.Name = 'Kabul';,Yes,2.6,SELECT r.Region FROM country AS c JOIN city AS ci ON c.Code = ci.CountryCode WHERE ci.Name = 'Kabul' AND NOT c.Region IS NULL;,No,10.2,SELECT r.Region FROM city AS c JOIN country AS co ON c.CountryCode = co.Code WHERE c.Name = 'Kabul';,No,64.1
11,Which language is the most popular in Aruba?,medium,"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba"" ORDER BY Percentage DESC LIMIT 1",SELECT T1.Language FROM countrylanguage AS T1 INNER JOIN country AS T2 ON T1.CountryCode = T2.Code WHERE T2.Name = 'Aruba' ORDER BY T1.Percentage DESC LIMIT 1;,Yes,2.8,SELECT cl.Language FROM countrylanguage AS cl JOIN country AS c ON cl.CountryCode = c.Code WHERE c.Name = 'Aruba' ORDER BY Percentage DESC LIMIT 1;,Yes,9.2,SELECT cl.Language FROM countrylanguage AS cl JOIN country AS c ON cl.CountryCode = c.Code WHERE c.Name = 'Aruba' ORDER BY cl.Percentage DESC LIMIT 1;,Yes,9.4
